Casaba Melon	Cucumis melo	0
Cast Iron Plant	Aspidistra elatior	0
Cat Brier	Smilax glabra	0
Cat Ear	Calochortus spp.	0
Cattleya Labiata	Cattleya labiata	0
Celosia Globosa	Celosia globosa	0
Celosia Plumosa	Celosia plumosa	0
Celosia Spicata	Celosia spicata	0
Chamaedorea	Chamaedorea elegans	0
Chaparral	Larrea tridentata	0
Chervil	Anthriscus cerefolium	0
Chestnut	Castanea dentata	0
Chicken-Gizzard	Iresine herbstii	0
Chickens and Hens	Echeveria elegans	0
Chin-lao-shu	Smilax glabra	0
China Aster	Callistephus chinensis	0
China Root	Smilax glabra	0
Chinese Plumbago	Ceratostigma willmottianum	0
Chlorophytum	Anthericum comosum	0
Chlorophytum bichetti	Chlorophytum bichetti	0
Chocolate Soldier	Episcia dianthiflora	0
Christmas Cactus	Schlumbergera bridgesii	0
Christmas Dagger	Polystichum acrostichoides	0
Christmas Orchid	Cattleya trianaei	0
Christmas Palm	Adonidia merrillii	0
Cilantro	Coriandrum sativum	0
Cinnamon	Cinnamomum zeylanicum	0
Cinquefoil	Potentilla spp.	0
Cirrhopetalum	Bulbophyllum appendiculatum	0
Clearweed	Pilea pumila	0
Cliff Brake	Pellaea rotundifolia	0
Club Moss	Selaginella kraussiana	0
Cocks Comb	Amaranthus hypochondriacus	0
Cocktail Orchid	Cattleya forbesii	0
Collinia Elegans	Chamaedorea elegans	0
Common Camellia	Camellia japonica; Thea japonica	0
Common Catbrier	Smilax rotundifolia	0
Common Garden Canna	Canna generalis	0
Common Greenbrier	Smilax rotundifolia	0
Common Snapdragon	Antirrhinum majus	0
Common Staghorn Fern	Platycerium bifurcatum	0
Confederate Jasmine	Trachelospermum jasminoides	0
Coolwort	Pilea pumila	0
Copper Rose	Echeveria multicaulis	0
Coral Bells	Heuchera sanguinea	0
Coreopsis	Coreopsis spp.	0
Cornflower	Centaurea cyanus	0
Crape Myrtle	Lagerstroemia indica	0
Creeping Charlie	Pilea nummulariifolia	0
Creeping Gloxinia	Asarina erubescens	0
Creeping Mahonia	Mahonia aquifolium	0
Creeping Pilea	Pilea nummulariifolia	0
Creeping Rubus	Rubus pedatus	0
Creeping Zinnia	Sanvitalia spp.	0
Crepe Myrtle	Lagerstroemia indica	0
Crimson Bottlebush	Callistemon species	0
Crimson Cup	Neoregalia spp.	0
Crisped Feather Fern	Nephrolepis biserrata	0
Crossandra	Crossandra species	0
Cucumber	Cucumis sativus	0
Cushion Aloe	Aloe retusa	0
Cushion Moss	Selaginella kraussiana	0
Cyrtudeira	Episcia reptans	0
Dainty Rabbits-Foot Fern	Davallia fejeensis	0
Dallas Fern	Nephrolepis biserrata	0
Dancing Doll Orchid	Oncidium flexuosum	0
Desert Trumpet	Eriogonium inflatum	0
Dichelostemma	Dichelostemma species	0
Dichorisandra Reginae	Dichorisandra reginae	0
Dill	Anethum graveolena	0
Dinteranthus	Dinteranthus vanzylii	0
Duffii Fern	Nephrolepsis cordifolia 'duffii'	0
Dwarf Date Palm	Phoenix acaulis	0
Dwarf Feather Palm	Nephrolepis exalta	0
Dwarf Palm	Chamaedorea elegans	0
Dwarf Rose-Stripe Star	Cryptanthus bivattus minor	0
Dwarf Royal Palm	Veitchia merillii	0
Dwarf Whitman Fern	Nephrolepsis cordifolia plumosa	0
Earth Star	Cryptanthus bivattus minor	0
Easter Cattleya	Cattleya mossiae	0
Easter Daisy	Townsendia sericea	0
Easter Lily Cactus	Echinopsis multiplex	0
Easter Orchid	Cattleya mossiae	0
Edible Banana	Musa acuminata	0
Emerald Ripple Peperomia	Peperomia caperata	0
English Hawthorn	Crataegus laevigata	0
Episcia	Episcia dianthiflora	0
Fairy Fountain	Celosia cristata	0
False Aralia	Dizygotheca elegantissima	0
Fan Tufted Palm	Rhapis flabelliformis	0
Feather Palm	Nephrolepis exaltata	0
Fennel	Foeniculum vulgare	0
Fiery Reed Orchid	Epidendrum ibaguense	0
Fig Leaf Gourd	Cucurbita ficifolia	0
Figleaf Palm	Fatsia japonica	0
Fingernail Plant	Neoregelia spectabilis	0
Fire Weed	Epilobium angustifolium	0
Fish Tail Fern	Cyrtomium falcatum	0
Flame African Violet	Episcia reptans	0
Flame of the Woods	Ixora coccinea	0
Florida Butterfly Orchid	Encyclia tampensis	0
Florida Butterfly Orchid	Epidendrum tampense	0
Fluffy Ruffles	Nephrolepsis exalta	0
Forster Sentry Palm	Howea forsteriana	0
Fortunes Palm	Trachycarpus fortunei	0
Freckle Face	Hypoestes phyllostachya	0
Friendship Plant	Pilea involucrata	0
Garden Marigold	Calendula officinalis	0
Garden Snapdragon	Antirrhinum majus	0
Gerber Daisy	Gerbera jamesonii	0
German Violet	Exacum affine	0
Gherkins	Cucumis sativus	0
Ghost Leafless Orchid	Polyrrhiza lindenii	0
Ghost Plant	Sedum weinbergii	0
Giant Aster	Townsendia sericea	0
Giant Holly Fern	Ploystichum munitum	0
Giant Touch-Me-Not	Impatiens spp.	0
Giant White Inch Plant	Albiflora spp.	0
Globe Thistle	Echinops spp.	0
Gloxinia	Sinningia speciosa	0
Gold Bloom	Calendula officinalis	0
Gold-Fish Plant	Hypocyrta nummularia	0
Golden Bells	Oleaceae	0
Golden Butterfly Palm	Dypsis lutescens	0
Golden Lace Orchid	Haemaria discolor	0
Golden Shower Orchid	Oncidium sphacelatum	0
Good Luck Palm	Chamaedorea elegans	0
Grape Hyacinth	Muscari armeniacum	0
Grape Ivy	Cissus rhombifolia	0
Great Willow Herb	Epilobium angustifolium	0
Green Ripple Peperomia	Peperomia caperata	0
Greenbrier	Smilax glabra	0
Hagbrier	Smilax hispida	0
Hardy Baby Tears	Sedum album	0
Hardy Gloxinia	Incarvillea delavayi	0
Hare Fern	Davallia spp.	0
Haworthia	Haworthia species	0
Haws	Crataegus species	0
Haws Apple	Crataegus species	0
Hawthorn	Crataegus species	0
Hedgehog Gourd	Cucumis dipsaceus	0
Hellfetter	Smilax hispida	0
Hemlock Tree	Tsuga species	0
Hen and Chickens Fern	Asplenium bulbiferum	0
Hens and Chickens	Echeveria elegans	0
Hibiscus	Hibiscus syriacus	0
Hindu Rope Plant	Hoya carnosa 'krinkle kurl'	0
Hoary Alyssum	Berteroa incana	0
Holligold	Calendula officinalis	0
Holly Fern	Cyrtomium falcatum	0
Hollyhock	Alcea rosea	0
Honey Locust	Gleditsia triacanthos	0
Honey Plant	Hoya carnosa	0
Honeydew Melon	Cucumis melo	0
Honeysuckle Fuchsia	Fuchsia triphylla	0
Hookera pulchella	Dichelostemma pulchellum	0
Hubbard Squash	Cucurbita maxima var. hubbard	0
Hypocyrta	Hypocyrta nummularia	0
Ice Plant	Lampranthus piquet	0
Impatience Plant	Impatiens spp.	0
Irish Moss	Selaginella kraussiana	0
Iron Tree	Ixora coccinea	0
Ivy Peperomia	Peperomia griseoargentea	0
Jackson Brier	Smilax lanceolata	0
Jacob's Ladder	Smilax herbacea	0
Japanese Aralia	Fatsia japonica	0
Japanese Holly Fern	Cyrtomium falcatum	0
Japanese Moss	Selaginella kraussiana	0
Japanese Pittosporum	Pittosporum tobira	0
